"V7","strain"
0.006056118,0
0.00606161,-0.00261351613748121
0.00606058,-0.00580781363886242
0.006059101,-0.00967968939812123
0.006059346,-0.0141323465212628
0.006060997,-0.0188753943263373
0.006059771,-0.0238120359193841
0.00606091,-0.0289422713003861
0.00605898,-0.0341693035753829
0.006060247,-0.0392027420624073
0.006062026,-0.0443329774434093
0.00605805,-0.0492696190364561
0.006059701,-0.054206260629503
0.00606033,-0.0589493084345774
0.006061597,-0.0635955593456914
0.00606178,-0.0681450133628106
0.006061512,-0.072597670485935
0.006059906,-0.076953530715099
0.006059384,-0.0812125940502682
0.006058479,-0.085374860491477
0.006060068,-0.089440330038691
0.006060313,-0.0935057995859051
0.006060498,-0.0972808784511691
0.006060615,-0.101055957316433
0.00606144,-0.104831036181697
0.00606028,-0.108606115046978
0.006058672,-0.112187600124287
0.006058984,-0.115672288307601
0.006059616,-0.119156976490932
0.006059544,-0.122544867780269
0.006060686,-0.125932759069622
0.006059912,-0.129320650358959
0.00606112,-0.13251494786034
0.00605798,-0.135709245361721
0.006058676,-0.138806745969125
0.006061481,-0.141904246576528
0.006061859,-0.145001747183932
0.006059166,-0.148099247791336
0.00605916,-0.151099951504744
0.006060686,-0.153907061430215
0.006063172,-0.156714171355669
0.006058564,-0.1596180781751
0.006058622,-0.162425188100554
0.00606066,-0.165232298026007
0.006059824,-0.168136204845456
0.006058603,-0.170846517876932
0.006061026,-0.17346003401443
0.006060316,-0.176073550151911
0.006059224,-0.17868706628941
0.006061328,-0.181300582426908
0.006059468,-0.183914098564407
0.00605959,-0.186527614701888
0.006062588,-0.189044333945409
0.006057851,-0.191464256294935
0.00606085,-0.193884178644478
0.00606206,-0.196304100994004
0.006056238,-0.19872402334353
0.00606339,-0.201143945693073
0.0060584,-0.203563868042599
0.00605948,-0.205983790392125
0.006062479,-0.208306915847673
0.006056658,-0.210533244409244
0.006064066,-0.212759572970815
0.006056008,-0.214985901532386
0.006060349,-0.217696214563862
0.006061301,-0.22001934001941
0.006059313,-0.223116840626814
0.006062441,-0.224955981612457
0.006056045,-0.226891919492078
0.006064158,-0.228924654265693
0.006055588,-0.230763795251337
0.00606268,-0.232699733130957
0.006056026,-0.234829264798551
0.006063756,-0.236958796466127
0.006057039,-0.238991531239742
0.006060551,-0.241121062907335
0.006057989,-0.243153797680934
0.006061181,-0.245186532454532
0.006058363,-0.247219267228148
0.006061363,-0.249155205107769
0.006058163,-0.251091142987389
0.006060906,-0.253123877761005
0.006057515,-0.255059815640626
0.00606256,-0.256995753520247
0.006057441,-0.258931691399885
0.006060952,-0.260867629279506
0.006056474,-0.262803567159126
0.006063564,-0.264739505038764
0.006056145,-0.266578646024408
0.006064578,-0.268514583904028
0.006054476,-0.270353724889672
0.006064378,-0.272096068981337
0.006056512,-0.274128803754936
0.00606341,-0.275967944740579
0.006056057,-0.277710288832244
0.00606123,-0.279549429817888
0.006061226,-0.281388570803531
0.006059496,-0.283130914895196
0.006060898,-0.28497005588084
0.006057122,-0.286615603078528
0.006064916,-0.288357947170193
0.006055645,-0.290100291261842
0.00606331,-0.291842635353507
0.00605666,-0.293584979445173
0.006060554,-0.295230526642861
0.006059144,-0.296972870734509
0.006057478,-0.298618417932197
0.006063674,-0.300360762023863
0.00605485,-0.302103106115528
0.006063282,-0.303845450207194
0.006055801,-0.305394200510887
0.006060016,-0.307039747708575
0.006062121,-0.308685294906246
0.006056494,-0.310330842103934
0.006064031,-0.311976389301622
0.006053738,-0.313525139605315
0.006060892,-0.315170686803003
0.006060952,-0.316719437106696
0.006057114,-0.318364984304384
0.00606414,-0.320010531502055
0.006053911,-0.321656078699743
0.006061512,-0.323204829003437
0.00606087,-0.324753579307147
0.006056968,-0.32630232961084
0.006064378,-0.327754283020556
0.006054916,-0.329303033324266
0.02420847,-0.32727029855065
0.1925899,-0.290390681943792
0.3942407,-0.24683207965222
0.5958974,-0.206274181074075
0.79755,-0.168329798633411
0.999203,-0.13309572922424
1.200857,-0.100087988376623
1.40251,-0.0690161854086434
1.604163,-0.0396867265323125
1.805817,-0.011615627277742
2.00747,0.0158746906129284
2.209122,0.0407514923661177
2.410777,0.063982746921619
2.61243,0.0867300170072151
2.814082,0.108509318153001
